CMDLINE /opt/anaconda3/envs/classifier/bin/python3.11 prot2.py
MEM 3473.156250 1747317020.3547
MEM 3482.968750 1747317020.4659
MEM 3475.562500 1747317020.5803
MEM 3460.125000 1747317020.6893
MEM 3459.578125 1747317020.8026
MEM 3466.687500 1747317020.9113
MEM 3455.968750 1747317021.0236
MEM 3458.062500 1747317021.1355
MEM 3460.781250 1747317021.2445
MEM 3459.328125 1747317021.3573
MEM 3472.750000 1747317021.4680
MEM 3458.093750 1747317021.5790
MEM 3457.375000 1747317021.6925
MEM 3469.109375 1747317021.8037
MEM 3437.875000 1747317021.9122
MEM 3435.468750 1747317022.0251
MEM 3448.140625 1747317022.1373
MEM 3454.984375 1747317022.2444
MEM 3441.953125 1747317022.3566
MEM 3437.937500 1747317022.4696
MEM 3439.234375 1747317022.5820
MEM 3421.015625 1747317022.6942
MEM 3426.406250 1747317022.8062
MEM 3410.203125 1747317022.9163
MEM 3413.140625 1747317023.0271
MEM 3409.765625 1747317023.1365
MEM 3413.296875 1747317023.2481
MEM 3407.984375 1747317023.3604
MEM 3425.484375 1747317023.4681
MEM 3391.562500 1747317023.5823
MEM 3395.093750 1747317023.6946
MEM 3408.984375 1747317023.8078
MEM 3409.375000 1747317023.9179
MEM 3409.375000 1747317024.0270
MEM 3396.296875 1747317024.1398
MEM 3392.328125 1747317024.2496
MEM 3405.093750 1747317024.3623
MEM 3417.328125 1747317024.4757
MEM 3451.296875 1747317024.5850
MEM 3462.406250 1747317024.6938
MEM 3496.593750 1747317024.8073
MEM 3516.484375 1747317024.9225
MEM 3527.156250 1747317025.0344
MEM 3519.437500 1747317025.1483
MEM 3515.375000 1747317025.2607
MEM 3455.375000 1747317025.3695
MEM 3440.218750 1747317025.4824
MEM 3436.718750 1747317025.5946
MEM 3448.312500 1747317025.7093
MEM 3443.203125 1747317025.8236
MEM 3430.062500 1747317025.9357
MEM 3425.296875 1747317026.0471
MEM 3442.703125 1747317026.1609
MEM 3468.390625 1747317026.2716
MEM 3483.265625 1747317026.3850
MEM 3489.343750 1747317026.4980
MEM 3501.453125 1747317026.6072
MEM 3503.234375 1747317026.7197
MEM 3503.156250 1747317026.8302
MEM 3495.468750 1747317026.9419
MEM 3475.796875 1747317027.0542
MEM 3454.421875 1747317027.1665
MEM 3475.765625 1747317027.2755
MEM 3464.890625 1747317027.3846
MEM 3476.453125 1747317027.4946
